Title,Description
Reserved Forests,More than half of the total forest land has been declared reserved forests. Reserved forests are regarded as the most valuable as far as the conservation of forest and wildlife resources are concerned.
Protected Forests,Almost one-third of the total forest area is protected forest, as declared by the Forest Department. This forest land are protected from any further depletion.
Unclassed Forests,These are other forests and wastelands belonging to both government and private individuals and communities.
Project Tiger,Launched in 1973 to protect the tiger population, which had dwindled to 1,827 from an estimated 55,000 at the turn of the century.  The project aims to preserve biotypes of sizeable magnitude.
Sacred Groves,Patches of forest or parts of large forests left untouched by local people due to religious beliefs; preserve diverse and rare species.
Joint Forest Management (JFM),A program involving local communities in the management and restoration of degraded forests, allowing them intermediary benefits like non-timber forest produces and share in harvested timber.
Bhairodev Dakav ‘Sonchuri’,1,200 hectares of forest declared by five villages in the Alwar district of Rajasthan as their own, protecting wildlife against outside encroachments.
Chipko Movement,A successful movement in the Himalayas that resisted deforestation and showed the success of community afforestation with indigenous species.
Beej Bachao Andolan,A citizen’s group in Tehri showing that diversified crop production without synthetic chemicals is possible and economically viable.
Navdanya,A citizen’s group showing that diversified crop production without synthetic chemicals is possible and economically viable.
