v
Question,Answer
"Why should a magnesium ribbon be cleaned before burning in air?","To remove any oxide layer that might prevent the magnesium from reacting with oxygen."
"Write the balanced equation for the following chemical reactions.(i) Hydrogen + Chlorine → Hydrogen chloride","H₂ + Cl₂ → 2HCl"
"Write the balanced equation for the following chemical reactions.(ii) Barium chloride + Aluminium sulphate → Barium sulphate + Aluminium chloride","3BaCl₂ + Al₂(SO₄)₃ → 3BaSO₄ + 2AlCl₃"
"Write the balanced equation for the following chemical reactions.(iii) Sodium + Water → Sodium hydroxide + Hydrogen","2Na + 2H₂O → 2NaOH + H₂"
"Write a balanced chemical equation with state symbols for the following reactions.(i) Solutions of barium chloride and sodium sulphate in water react to give insoluble barium sulphate and the solution of sodium chloride.","BaCl₂(aq) + Na₂SO₄(aq) → BaSO₄(s) + 2NaCl(aq)"
"Write a balanced chemical equation with state symbols for the following reactions.(ii) Sodium hydroxide solution (in water) reacts with hydrochloric acid solution (in water) to produce sodium chloride solution and water.","NaOH(aq) + HCl(aq) → NaCl(aq) + H₂O(l)"
"A solution of a substance ‘X’ is used for whitewashing.(i) Name the substance ‘X’ and write its formula.","Calcium hydroxide, Ca(OH)₂"
"A solution of a substance ‘X’ is used for whitewashing.(ii) Write the reaction of the substance ‘X’ named in (i) above with water.","CaO(s) + H₂O(l) → Ca(OH)₂(aq)"
"Why is the amount of gas collected in one of the test tubes in Activity 1.7 double of the amount collected in the other? Name this gas.","The volume of hydrogen gas collected is double the volume of oxygen gas collected because water is composed of two parts hydrogen and one part oxygen.  The gas is hydrogen."
"Why does the colour of copper sulphate solution change when an iron nail is dipped in it?","The iron displaces copper from the copper sulphate solution, forming iron sulphate (which is pale green) and metallic copper."
"Give an example of a double displacement reaction other than the one given in Activity 1.10.","Pb(NO₃)₂(aq) + 2KI(aq) → PbI₂(s) + 2KNO₃(aq)"
"Identify the substances that are oxidised and the substances that are reduced in the following reactions.(i) 4Na(s) + O₂(g) → 2Na₂O(s)","Na is oxidised (gains oxygen); O₂ is reduced (gains electrons)."
"Identify the substances that are oxidised and the substances that are reduced in the following reactions.(ii) CuO(s) + H₂(g) → Cu(s) + H₂O(l)","CuO is reduced (loses oxygen); H₂ is oxidised (gains oxygen)."
"What is a balanced chemical equation? Why should chemical equations be balanced?","A balanced chemical equation has the same number of atoms of each element on both the reactant and product sides.  They must be balanced to satisfy the law of conservation of mass – matter cannot be created or destroyed."
"Translate the following statements into chemical equations and then balance them.(a) Hydrogen gas combines with nitrogen to form ammonia.","3H₂ + N₂ → 2NH₃"
"Translate the following statements into chemical equations and then balance them.(b) Hydrogen sulphide gas burns in air to give water and sulpur dioxide.","2H₂S + 3O₂ → 2H₂O + 2SO₂"
"Translate the following statements into chemical equations and then balance them.(c) Barium chloride reacts with aluminium sulphate to give aluminium chloride and a precipitate of barium sulphate.","3BaCl₂ + Al₂(SO₄)₃ → 2AlCl₃ + 3BaSO₄"
"Translate the following statements into chemical equations and then balance them.(d) Potassium metal reacts with water to give potassium hydroxide and hydrogen gas.","2K + 2H₂O → 2KOH + H₂"
"Balance the following chemical equations.(a) HNO₃ + Ca(OH)₂ → Ca(NO₃)₂ + H₂O","2HNO₃ + Ca(OH)₂ → Ca(NO₃)₂ + 2H₂O"
"Balance the following chemical equations.(b) NaOH + H₂SO₄ → Na₂SO₄ + H₂O","2NaOH + H₂SO₄ → Na₂SO₄ + 2H₂O"
"Balance the following chemical equations.(c) NaCl + AgNO₃ → AgCl + NaNO₃","NaCl + AgNO₃ → AgCl + NaNO₃"
"Balance the following chemical equations.(d) BaCl₂ + H₂SO₄ → BaSO₄ + HCl","BaCl₂ + H₂SO₄ → BaSO₄ + 2HCl"
"Write the balanced chemical equations for the following reactions.(a) Calcium hydroxide + Carbon dioxide → Calcium carbonate + Water","Ca(OH)₂ + CO₂ → CaCO₃ + H₂O"
"Write the balanced chemical equations for the following reactions.(b) Zinc + Silver nitrate → Zinc nitrate + Silver","Zn + 2AgNO₃ → Zn(NO₃)₂ + 2Ag"
"Write the balanced chemical equations for the following reactions.(c) Aluminium + Copper chloride → Aluminium chloride + Copper","2Al + 3CuCl₂ → 2AlCl₃ + 3Cu"
"Write the balanced chemical equations for the following reactions.(d) Barium chloride + Potassium sulphate → Barium sulphate + Potassium chloride","BaCl₂ + K₂SO₄ → BaSO₄ + 2KCl"
"Write the balanced chemical equation for the following and identify the type of reaction in each case.(a) Potassium bromide(aq) + Barium iodide(aq) → Potassium iodide(aq) + Barium bromide(s)","2KBr(aq) + BaI₂(aq) → 2KI(aq) + BaBr₂(s); Double displacement"
"Write the balanced chemical equation for the following and identify the type of reaction in each case.(b) Zinc carbonate(s) → Zinc oxide(s) + Carbon dioxide(g)","ZnCO₃(s) → ZnO(s) + CO₂(g); Decomposition"
"Write the balanced chemical equation for the following and identify the type of reaction in each case.(c) Hydrogen(g) + Chlorine(g) → Hydrogen chloride(g)","H₂(g) + Cl₂(g) → 2HCl(g); Combination"
"Write the balanced chemical equation for the following and identify the type of reaction in each case.(d) Magnesium(s) + Hydrochloric acid(aq) → Magnesium chloride(aq) + Hydrogen(g)","Mg(s) + 2HCl(aq) → MgCl₂(aq) + H₂(g); Displacement"
"What does one mean by exothermic and endothermic reactions? Give examples.","Exothermic reactions release heat (e.g., combustion). Endothermic reactions absorb heat (e.g., photosynthesis)."
"Why is respiration considered an exothermic reaction? Explain.","Respiration releases energy in the form of heat as glucose is broken down, making it exothermic."
"Why are decomposition reactions called the opposite of combination reactions? Write equations for these reactions.","Decomposition reactions break down a single compound into two or more simpler substances, the opposite of combination reactions which form a single product from multiple reactants.  Examples: Decomposition - 2H₂O → 2H₂ + O₂; Combination - 2H₂ + O₂ → 2H₂O"
"What is the difference between displacement and double displacement reactions? Write equations for these reactions.","Displacement: One element replaces another in a compound.  Example: Fe + CuSO₄ → FeSO₄ + Cu. Double displacement: Ions of two compounds exchange places. Example: AgNO₃ + NaCl → AgCl + NaNO₃"
"In the refining of silver, the recovery of silver from silver nitrate solution involved displacement by copper metal. Write down the reaction involved.","Cu(s) + 2AgNO₃(aq) → Cu(NO₃)₂(aq) + 2Ag(s)"
"What do you mean by a precipitation reaction? Explain by giving examples.","A precipitation reaction forms an insoluble solid (precipitate) from the reaction of two soluble substances. Example: BaCl₂(aq) + Na₂SO₄(aq) → BaSO₄(s) + 2NaCl(aq)"
"Explain the following in terms of gain or loss of oxygen with two examples each.(a) Oxidation","Oxidation is the gain of oxygen. Examples: 2Mg + O₂ → 2MgO; 4Fe + 3O₂ → 2Fe₂O₃"
"Explain the following in terms of gain or loss of oxygen with two examples each.(b) Reduction","Reduction is the loss of oxygen. Examples: 2CuO → 2Cu + O₂; 2HgO → 2Hg + O₂"
